date,Days Type,Daily,Weekly,Monthly,FIrstDayofmonth,LastDayoftheMonth,WeekNum,WeekName
5/12/2018,Calendar days,1,6,12,5/1/2018,4/30/2018,19,Saturday
5/13/2018,Calendar days,1,7,13,5/1/2018,4/30/2018,20,Sunday
5/14/2018,Calendar days,1,1,14,5/1/2018,4/30/2018,20,Monday
5/15/2018,Calendar days,1,2,15,5/1/2018,4/30/2018,20,Tuesday
5/16/2018,Calendar days,1,3,16,5/1/2018,4/30/2018,20,Wednesday
5/17/2018,Calendar days,1,4,17,5/1/2018,4/30/2018,20,Thursday
5/18/2018,Calendar days,1,5,18,5/1/2018,4/30/2018,20,Friday
5/19/2018,Calendar days,1,6,19,5/1/2018,4/30/2018,20,Saturday
5/20/2018,Calendar days,1,7,20,5/1/2018,4/30/2018,21,Sunday
5/21/2018,Calendar days,1,1,21,5/1/2018,4/30/2018,21,Monday
5/22/2018,Calendar days,1,2,22,5/1/2018,4/30/2018,21,Tuesday
5/23/2018,Calendar days,1,3,23,5/1/2018,4/30/2018,21,Wednesday
5/24/2018,Calendar days,1,4,24,5/1/2018,4/30/2018,21,Thursday
5/25/2018,Calendar days,1,5,25,5/1/2018,4/30/2018,21,Friday
5/26/2018,Calendar days,1,6,26,5/1/2018,4/30/2018,21,Saturday
5/27/2018,Calendar days,1,7,27,5/1/2018,4/30/2018,22,Sunday
5/28/2018,Calendar days,1,1,28,5/1/2018,4/30/2018,22,Monday
5/29/2018,Calendar days,1,2,29,5/1/2018,4/30/2018,22,Tuesday
5/30/2018,Calendar days,1,3,30,5/1/2018,4/30/2018,22,Wednesday
5/31/2018,Calendar days,1,4,31,5/1/2018,4/30/2018,22,Thursday
6/1/2018,Calendar days,1,5,1,6/1/2018,5/31/2018,22,Friday
6/2/2018,Calendar days,1,6,2,6/1/2018,5/31/2018,22,Saturday
6/3/2018,Calendar days,1,7,3,6/1/2018,5/31/2018,23,Sunday
6/4/2018,Calendar days,1,1,4,6/1/2018,5/31/2018,23,Monday
6/5/2018,Calendar days,1,2,5,6/1/2018,5/31/2018,23,Tuesday
6/6/2018,Calendar days,1,3,6,6/1/2018,5/31/2018,23,Wednesday
6/7/2018,Calendar days,1,4,7,6/1/2018,5/31/2018,23,Thursday
6/8/2018,Calendar days,1,5,8,6/1/2018,5/31/2018,23,Friday
6/9/2018,Calendar days,1,6,9,6/1/2018,5/31/2018,23,Saturday
6/10/2018,Calendar days,1,7,10,6/1/2018,5/31/2018,24,Sunday
6/11/2018,Calendar days,1,1,11,6/1/2018,5/31/2018,24,Monday
6/12/2018,Calendar days,1,2,12,6/1/2018,5/31/2018,24,Tuesday
6/13/2018,Calendar days,1,3,13,6/1/2018,5/31/2018,24,Wednesday
6/14/2018,Calendar days,1,4,14,6/1/2018,5/31/2018,24,Thursday
6/15/2018,Calendar days,1,5,15,6/1/2018,5/31/2018,24,Friday
6/16/2018,Calendar days,1,6,16,6/1/2018,5/31/2018,24,Saturday
6/17/2018,Calendar days,1,7,17,6/1/2018,5/31/2018,25,Sunday
6/18/2018,Calendar days,1,1,18,6/1/2018,5/31/2018,25,Monday
6/19/2018,Calendar days,1,2,19,6/1/2018,5/31/2018,25,Tuesday
6/20/2018,Calendar days,1,3,20,6/1/2018,5/31/2018,25,Wednesday
6/21/2018,Calendar days,1,4,21,6/1/2018,5/31/2018,25,Thursday
6/22/2018,Calendar days,1,5,22,6/1/2018,5/31/2018,25,Friday
6/23/2018,Calendar days,1,6,23,6/1/2018,5/31/2018,25,Saturday
6/24/2018,Calendar days,1,7,24,6/1/2018,5/31/2018,26,Sunday
6/25/2018,Calendar days,1,1,25,6/1/2018,5/31/2018,26,Monday
6/26/2018,Calendar days,1,2,26,6/1/2018,5/31/2018,26,Tuesday
6/27/2018,Calendar days,1,3,27,6/1/2018,5/31/2018,26,Wednesday
6/28/2018,Calendar days,1,4,28,6/1/2018,5/31/2018,26,Thursday
6/29/2018,Calendar days,1,5,29,6/1/2018,5/31/2018,26,Friday
6/30/2018,Calendar days,1,6,30,6/1/2018,5/31/2018,26,Saturday
7/1/2018,Calendar days,1,7,1,7/1/2018,6/30/2018,27,Sunday
7/2/2018,Calendar days,1,1,2,7/1/2018,6/30/2018,27,Monday
7/3/2018,Calendar days,1,2,3,7/1/2018,6/30/2018,27,Tuesday
7/4/2018,Calendar days,1,3,4,7/1/2018,6/30/2018,27,Wednesday
